SimID, TxID, Size, Value, NodeID, ArrivalTime, ConflictID, DependencyIDs
1,50,4098.0,3424.181,28,3362250,-1,-1
1,60,5468.0,3454.7727,19,3873486,-1,-1
1,70,5252.0,3479.1028,30,4516014,-1,-1
1,80,5434.0,3215.8035,30,5288627,-1,-1
1,90,5557.0,3143.998,7,5835048,-1,-1
2,50,5803.0,3606.8708,25,2383659,-1,-1
2,60,6292.0,3602.4822,8,3056593,-1,-1
2,70,5395.0,2903.4595,3,3602344,-1,-1
2,80,4609.0,3928.9062,9,4533414,-1,-1
2,90,4813.0,3767.8184,14,4889120,-1,-1
3,50,5444.0,3441.6255,3,3049261,-1,-1
3,60,4814.0,3924.8452,26,3694767,-1,-1
3,70,4847.0,4078.7263,5,4208803,-1,-1
3,80,4830.0,3684.3267,27,4818000,-1,-1
3,90,4885.0,3773.007,11,5589260,-1,-1
4,50,4361.0,3562.365,13,2986076,-1,-1
4,60,4485.0,4142.0938,5,3388020,-1,-1
4,70,5429.0,3687.9841,30,3922004,-1,-1
4,80,4323.0,3267.8271,9,4395437,-1,-1
4,90,5177.0,4064.114,27,4972080,-1,-1
5,50,5377.0,3366.4917,8,3022136,-1,-1
5,60,4454.0,3083.1313,18,3663074,-1,-1
5,70,5003.0,3970.4697,16,4435351,-1,-1
5,80,6102.0,3546.9724,11,5151939,-1,-1
5,90,5579.0,2959.729,6,5853036,-1,-1
6,50,4004.0,4049.8018,7,2806579,-1,-1
6,60,4742.0,3665.3262,21,3455656,-1,-1
6,70,5655.0,3793.1257,23,4342588,-1,-1
6,80,4379.0,3877.7935,20,5008060,-1,-1
6,90,3923.0,3999.9534,19,5509689,-1,-1
7,50,4465.0,3452.1533,19,2740805,-1,-1
7,60,3941.0,3598.6406,16,3351169,-1,-1
7,70,5286.0,3450.3313,26,3797365,-1,-1
7,80,4526.0,3405.0476,13,4699687,-1,-1
7,90,4532.0,3139.3938,29,5098473,-1,-1
8,50,5949.0,4024.1172,23,3000063,-1,-1
8,60,5664.0,3575.7488,9,3611680,-1,-1
8,70,4136.0,3553.5723,13,4371738,-1,-1
8,80,5492.0,3860.5718,17,4890671,-1,-1
8,90,5923.0,3728.412,9,5413557,-1,-1
9,50,4769.0,3463.7737,30,2759551,-1,-1
9,60,5399.0,2929.1636,21,3200124,-1,-1
9,70,4174.0,4141.959,27,3921628,-1,-1
9,80,5228.0,3631.8826,27,4566590,-1,-1
9,90,5240.0,3700.907,11,5098330,-1,-1
10,50,5364.0,3669.9875,3,3140082,-1,-1
10,60,5165.0,3445.6965,11,3769814,-1,-1
10,70,4592.0,3596.5222,2,4555076,-1,-1
10,80,5292.0,4066.6099,11,5278434,-1,-1
10,90,5299.0,3659.9124,21,5703813,-1,-1
11,50,5735.0,2884.895,23,2821413,-1,-1
11,60,6157.0,3524.123,1,3452725,-1,-1
11,70,5167.0,3474.2012,12,4122853,-1,-1
11,80,5657.0,3738.371,15,4473659,-1,-1
11,90,5076.0,3277.73,12,4966748,-1,-1
12,50,4319.0,4227.1216,15,3525911,-1,-1
12,60,5125.0,4086.013,13,4219153,-1,-1
12,70,5763.0,3727.5686,3,4574834,-1,-1
12,80,5036.0,3898.0923,8,5010138,-1,-1
12,90,4850.0,3623.9922,26,5617688,-1,-1
13,50,4942.0,3596.0596,10,3254641,-1,-1
13,60,4990.0,3876.8054,12,4020936,-1,-1
13,70,4823.0,3031.9053,16,4660039,-1,-1
13,80,4554.0,3425.4558,20,5394966,-1,-1
13,90,5119.0,3538.4158,2,6210818,-1,-1
14,50,4741.0,3937.4934,25,2502083,-1,-1
14,60,5439.0,3983.2197,21,3142135,-1,-1
14,70,5172.0,3043.5405,4,3571406,-1,-1
14,80,4836.0,3371.4258,6,4188413,-1,-1
14,90,4681.0,3996.4412,16,5384839,-1,-1
15,50,4455.0,3600.351,23,3555579,-1,-1
15,60,5372.0,3325.555,26,3821005,-1,-1
15,70,5622.0,4107.642,27,4701446,-1,-1
15,80,4780.0,3583.0686,15,5444842,-1,-1
15,90,4943.0,3947.6008,6,5812664,-1,-1
16,50,5845.0,4008.1265,11,2955485,-1,-1
16,60,4315.0,3139.2432,3,3652101,-1,-1
16,70,3720.0,3435.936,6,4104300,-1,-1
16,80,4862.0,3325.434,6,4637681,-1,-1
16,90,5821.0,3069.0854,30,5134318,-1,-1
17,50,4728.0,3351.9373,13,3520658,-1,-1
17,60,5046.0,3615.1401,9,3957971,-1,-1
17,70,5058.0,3376.3862,1,4990456,-1,-1
17,80,4471.0,3907.9438,18,5598611,-1,-1
17,90,4824.0,3637.4321,23,6205675,-1,-1
18,50,4672.0,3464.5503,23,2838745,-1,-1
18,60,5991.0,3183.2097,22,2979287,-1,-1
18,70,5942.0,3385.0781,16,3410414,-1,-1
18,80,4516.0,3440.0913,11,3739971,-1,-1
18,90,5053.0,3300.4678,16,4738750,-1,-1
19,50,4226.0,3255.6128,30,2955319,-1,-1
19,60,5756.0,3929.705,16,3473520,-1,-1
19,70,5433.0,3462.1694,29,3967861,-1,-1
19,80,4896.0,3405.5933,5,4794723,-1,-1
19,90,4021.0,3628.643,20,5177451,-1,-1
20,50,4352.0,3561.3113,9,2613627,-1,-1
20,60,5183.0,3650.97,26,3485463,-1,-1
20,70,5035.0,3836.0488,19,4220531,-1,-1
20,80,5514.0,3861.0286,13,4679870,-1,-1
20,90,5169.0,3783.1304,15,5092445,-1,-1
21,50,5023.0,3582.7822,30,2964180,-1,-1
21,60,4458.0,3989.9575,28,3410902,-1,-1
21,70,4485.0,3797.649,4,3991066,-1,-1
21,80,5228.0,3773.645,28,4775691,-1,-1
21,90,5530.0,3266.6965,12,5324258,-1,-1
22,50,5636.0,3521.0645,18,3291572,-1,-1
22,60,5216.0,3485.5596,18,4236356,-1,-1
22,70,4930.0,3530.7764,13,4848112,-1,-1
22,80,5466.0,3669.462,22,5464208,-1,-1
22,90,5175.0,3533.3035,5,5959037,-1,-1
23,50,4874.0,4081.1055,1,3440042,-1,-1
23,60,5298.0,3216.6438,15,3856811,-1,-1
23,70,4646.0,4080.892,7,4878367,-1,-1
23,80,4977.0,3871.5332,25,5423329,-1,-1
