SimID, EventID, SimTime, SysTime, EventType, NodeID, ObjectID, Info
1,-1,0,-1,Going into Monitoring,30,-1,Power: 2.9184934E10
1,-1,4516014,-1,Attacker Receiving Target Transaction (Tx kept),30,-1,Power: 2.9184934E10
1,-1,5006650,-1,Attack is Starting,30,-1,Power: 5.4104805E11
2,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.4095178E10
2,-1,4219795,-1,Attack is Starting,30,-1,Power: 5.4066872E11
3,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.120306E10
3,-1,5008392,-1,Attack is Starting,30,-1,Power: 5.358595E11
4,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.482118E10
4,-1,3922004,-1,Attacker Receiving Target Transaction (Tx kept),30,-1,Power: 2.482118E10
4,-1,4083561,-1,Attack is Starting,30,-1,Power: 5.27228E11
5,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7532556E10
5,-1,6217140,-1,Attack is Starting,30,-1,Power: 5.182185E11
5,-1,14980182,-1,Releasing chain,30,-1,Lenght: 13
6,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.6083455E10
6,-1,5835881,-1,Attack is Starting,30,-1,Power: 5.4749318E11
6,-1,12331334,-1,Releasing chain,30,-1,Lenght: 8
7,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.8976466E10
7,-1,3807121,-1,Attack is Starting,30,-1,Power: 5.2740063E11
8,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.131727E10
8,-1,4509964,-1,Attack is Starting,30,-1,Power: 5.2643175E11
9,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.1431936E10
9,-1,5104447,-1,Attack is Starting,30,-1,Power: 5.29795E11
10,-1,1188000000,-1,Going into Monitoring,30,-1,Power: 2.289592E10
10,-1,4863477,-1,Attack is Starting,30,-1,Power: 5.4343067E11
11,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.590564E10
11,-1,4804528,-1,Attack is Starting,30,-1,Power: 5.3617197E11
12,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.9016916E10
12,-1,4740452,-1,Attack is Starting,30,-1,Power: 5.3548974E11
13,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.2690407E10
13,-1,4710719,-1,Attack is Starting,30,-1,Power: 5.4044836E11
14,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.0784754E10
14,-1,4721894,-1,Attack is Starting,30,-1,Power: 5.3541215E11
14,-1,16276888,-1,Releasing chain,30,-1,Lenght: 21
15,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.5766054E10
15,-1,5568328,-1,Attack is Starting,30,-1,Power: 5.4669115E11
16,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.3212047E10
16,-1,4275385,-1,Attack is Starting,30,-1,Power: 5.1334844E11
17,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.484989E10
17,-1,5878045,-1,Attack is Starting,30,-1,Power: 5.4165825E11
18,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.6322469E10
18,-1,3628557,-1,Attack is Starting,30,-1,Power: 5.3806495E11
19,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.09285E10
19,-1,4403422,-1,Attack is Starting,30,-1,Power: 5.3555374E11
20,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.6750667E10
20,-1,4233932,-1,Attack is Starting,30,-1,Power: 5.332496E11
20,-1,7921424,-1,Releasing chain,30,-1,Lenght: 7
21,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.0146621E10
21,-1,4767851,-1,Attack is Starting,30,-1,Power: 5.341376E11
22,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9711602E10
22,-1,5060088,-1,Attack is Starting,30,-1,Power: 5.31606E11
23,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.123127E10
23,-1,4914026,-1,Attack is Starting,30,-1,Power: 5.337835E11
24,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.0927442E10
24,-1,3950580,-1,Attacker Receiving Target Transaction (Tx kept),30,-1,Power: 3.0927442E10
24,-1,4300871,-1,Attack is Starting,30,-1,Power: 5.2817438E11
25,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.7250336E10
25,-1,3671857,-1,Attack is Starting,30,-1,Power: 5.319612E11
26,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.6535526E10
26,-1,6447313,-1,Attack is Starting,30,-1,Power: 5.4257635E11
26,-1,10798321,-1,Releasing chain,30,-1,Lenght: 9
27,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.8352604E10
27,-1,4608350,-1,Attack is Starting,30,-1,Power: 5.3640793E11
27,-1,10285870,-1,Releasing chain,30,-1,Lenght: 7
28,-1,1184400000,-1,Going into Monitoring,30,-1,Power: 2.902947E10
28,-1,3677183,-1,Attack is Starting,30,-1,Power: 5.3764378E11
29,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.889865E10
29,-1,4406127,-1,Attack is Starting,30,-1,Power: 5.186065E11
30,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.795757E10
30,-1,5028668,-1,Attack is Starting,30,-1,Power: 5.3032013E11
31,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.6611642E10
31,-1,3493867,-1,Attack is Starting,30,-1,Power: 5.3689942E11
32,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.9323174E10
32,-1,4695651,-1,Attack is Starting,30,-1,Power: 5.3716287E11
33,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 3.2046449E10
33,-1,3791728,-1,Attack is Starting,30,-1,Power: 5.4053224E11
34,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.31592E10
34,-1,6033435,-1,Attack is Starting,30,-1,Power: 5.499885E11
35,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.761921E10
35,-1,2958874,2,Discarding Tx due to: tx contained in system structure.,6,55,
35,-1,2958875,2,Discarding Tx due to: tx contained in system structure.,7,55,
35,-1,2958875,2,Discarding Tx due to: tx contained in system structure.,8,55,
35,-1,2958876,2,Discarding Tx due to: tx contained in system structure.,9,55,
35,-1,2958877,2,Discarding Tx due to: tx contained in system structure.,10,55,
35,-1,2958877,2,Discarding Tx due to: tx contained in system structure.,11,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,19,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,28,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,29,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,30,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,20,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,24,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,26,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,27,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,25,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,21,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,23,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,15,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,17,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,18,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,16,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,12,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,13,55,
35,-1,2958878,3,Discarding Tx due to: tx contained in system structure.,14,55,
35,-1,5341369,-1,Attack is Starting,30,-1,Power: 5.2248193E11
36,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.1582282E10
36,-1,5460930,-1,Attack is Starting,30,-1,Power: 5.2098787E11
37,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.362008E10
37,-1,7866849,-1,Attack is Starting,30,-1,Power: 5.3359018E11
38,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.9174456E10
38,-1,4601258,-1,Attack is Starting,30,-1,Power: 5.4224054E11
39,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.8575592E10
39,-1,6693173,-1,Attack is Starting,30,-1,Power: 5.2841513E11
40,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.996735E10
40,-1,5937882,-1,Attack is Starting,30,-1,Power: 5.1859463E11
41,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.8520538E10
41,-1,4201321,-1,Attack is Starting,30,-1,Power: 5.4182792E11
42,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.8641405E10
42,-1,4524457,-1,Attack is Starting,30,-1,Power: 5.2487163E11
43,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 3.304355E10
43,-1,4455918,-1,Attack is Starting,30,-1,Power: 5.3716687E11
44,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.5169355E10
44,-1,5256405,-1,Attack is Starting,30,-1,Power: 5.2737953E11
45,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.5451954E10
45,-1,5160495,-1,Attack is Starting,30,-1,Power: 5.4614013E11
46,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7516518E10
46,-1,4843205,-1,Attack is Starting,30,-1,Power: 5.4513264E11
46,-1,23062570,-1,Releasing chain,30,-1,Lenght: 26
47,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.6801496E10
47,-1,5703212,-1,Attack is Starting,30,-1,Power: 5.467365E11
48,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.2952931E10
48,-1,5035338,-1,Attack is Starting,30,-1,Power: 5.575715E11
49,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9948107E10
49,-1,4582708,-1,Attack is Starting,30,-1,Power: 5.390467E11
50,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.5417564E10
50,-1,5419781,-1,Attack is Starting,30,-1,Power: 5.3267576E11
50,-1,8871870,-1,Releasing chain,30,-1,Lenght: 7
51,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7989918E10
51,-1,5797875,-1,Attack is Starting,30,-1,Power: 5.2393207E11
51,-1,8850719,-1,Releasing chain,30,-1,Lenght: 7
52,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.8992766E10
52,-1,4536409,-1,Attack is Starting,30,-1,Power: 5.344374E11
52,-1,12348503,-1,Releasing chain,30,-1,Lenght: 11
53,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.0597865E10
53,-1,4129372,-1,Attack is Starting,30,-1,Power: 5.239788E11
53,-1,8486917,-1,Releasing chain,30,-1,Lenght: 8
54,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 3.0792464E10
54,-1,4140820,-1,Attacker Receiving Target Transaction (Tx kept),30,-1,Power: 3.0792464E10
54,-1,4296831,-1,Attack is Starting,30,-1,Power: 5.3676232E11
55,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 3.020357E10
55,-1,4631229,-1,Attack is Starting,30,-1,Power: 5.543362E11
55,-1,11368428,-1,Releasing chain,30,-1,Lenght: 9
56,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.5858423E10
56,-1,3890675,-1,Attack is Starting,30,-1,Power: 5.412703E11
57,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.6838264E10
57,-1,7382912,-1,Attack is Starting,30,-1,Power: 5.3517546E11
58,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.0532743E10
58,-1,4330478,-1,Attack is Starting,30,-1,Power: 5.3005825E11
59,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.8487393E10
59,-1,4338922,-1,Attack is Starting,30,-1,Power: 5.322423E11
60,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 3.1079076E10
60,-1,3949091,-1,Attack is Starting,30,-1,Power: 5.404381E11
61,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9038598E10
61,-1,5268691,-1,Attack is Starting,30,-1,Power: 5.4754827E11
61,-1,8568348,-1,Releasing chain,30,-1,Lenght: 7
62,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9171087E10
62,-1,3329380,-1,Attacker Receiving Target Transaction (Tx kept),30,-1,Power: 2.9171087E10
63,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.2337623E10
