SimID, NodeID, HashPower, ElectricPower, ElectricityCost, TotalCycles
16,1,8.8582095E10,1383.9736,0.10751399,7.98328059070251E17
16,2,8.08249E10,1387.8018,0.12974991,0.0
16,3,1.0163971E11,1358.4988,0.15108661,6.698804869740626E17
16,4,7.929042E10,1346.5173,0.025187954,0.0
16,5,8.499611E10,1374.4965,0.051052123,2.4002026677284045E17
16,6,7.730405E10,1422.8927,0.099164106,6.382139190047539E17
16,7,8.741412E10,1346.7252,0.054011974,4.6941120438214656E17
16,8,9.822959E10,1371.3367,0.04844451,9.472952435437158E17
16,9,8.440153E10,1403.3077,0.116876885,2.5247999937097728E17
16,10,8.3843056E10,1372.9902,0.12562416,0.0
17,1,8.8582095E10,1383.9736,0.10751399,6.152843214108099E17
17,2,8.08249E10,1387.8018,0.12974991,2.4427265483280384E17
17,3,1.0163971E11,1358.4988,0.15108661,6.44097948634071E17
17,4,7.929042E10,1346.5173,0.025187954,6.748240101026529E17
17,5,8.499611E10,1374.4965,0.051052123,1.141370295148544E17
17,6,7.730405E10,1422.8927,0.099164106,6.647918257279795E17
17,7,8.741412E10,1346.7252,0.054011974,3.516945420102451E17
17,8,9.822959E10,1371.3367,0.04844451,4.173973790575329E17
17,9,8.440153E10,1403.3077,0.116876885,5.2922307503834726E17
17,10,8.3843056E10,1372.9902,0.12562416,2.5849954311969178E17
18,1,8.8582095E10,1383.9736,0.10751399,6.035600382472028E17
18,2,8.08249E10,1387.8018,0.12974991,1.447733213285335E17
18,3,1.0163971E11,1358.4988,0.15108661,9.18023468446466E17
18,4,7.929042E10,1346.5173,0.025187954,6.001425070284472E17
18,5,8.499611E10,1374.4965,0.051052123,8.31457640166228E17
18,6,7.730405E10,1422.8927,0.099164106,7.719597496243814E17
18,7,8.741412E10,1346.7252,0.054011974,6.667137904735683E17
18,8,9.822959E10,1371.3367,0.04844451,8.796443270300549E17
18,9,8.440153E10,1403.3077,0.116876885,6.090145923655434E17
18,10,8.3843056E10,1372.9902,0.12562416,6.497712722517688E17
19,1,8.8582095E10,1383.9736,0.10751399,0.0
19,2,8.08249E10,1387.8018,0.12974991,3.4256640410433126E17
19,3,1.0163971E11,1358.4988,0.15108661,6.648621279980913E17
19,4,7.929042E10,1346.5173,0.025187954,3.7231751000643994E17
19,5,8.499611E10,1374.4965,0.051052123,4.34851840420053E17
19,6,7.730405E10,1422.8927,0.099164106,4.354699686813696E17
19,7,8.741412E10,1346.7252,0.054011974,6.270063633306665E17
19,8,9.822959E10,1371.3367,0.04844451,4.4953043967269274E17
19,9,8.440153E10,1403.3077,0.116876885,8.684818567024067E17
19,10,8.3843056E10,1372.9902,0.12562416,6.518249240560271E17
20,1,8.8582095E10,1383.9736,0.10751399,0.0
20,2,8.08249E10,1387.8018,0.12974991,2.897753771286856E17
20,3,1.0163971E11,1358.4988,0.15108661,7.37084357428863E17
20,4,7.929042E10,1346.5173,0.025187954,8.160082890122527E17
20,5,8.499611E10,1374.4965,0.051052123,7.806326848361923E17
20,6,7.730405E10,1422.8927,0.099164106,8.068155290323354E17
20,7,8.741412E10,1346.7252,0.054011974,1.055308717390889E18
20,8,9.822959E10,1371.3367,0.04844451,6.017760914943181E17
20,9,8.440153E10,1403.3077,0.116876885,4.11204248469504E17
20,10,8.3843056E10,1372.9902,0.12562416,9.664382766939505E17
