SimID,SimDiff
6,328850
6,661095
6,407736
6,119193
6,893757
6,260763
6,152603
6,38123
6,1374994
6,1083938
6,1312332
6,571590
6,926551
6,559890
6,899527
6,162563
6,855271
6,263334
6,317948
6,156561
6,288825
7,328850
7,661095
7,407736
7,119193
7,189733
7,637843
7,332554
7,251078
7,419572
7,312759
7,2077258
7,911521
7,12358
7,967593
7,2068299
7,38619
7,301054
7,1052941
7,493032
7,872614
7,623501
8,328850
8,661095
8,407736
8,119193
8,344850
8,25144
8,164189
8,190369
8,2543396
8,428213
8,13541
8,545128
8,360266
8,172081
8,84515
8,825801
8,413334
8,1172394
8,1469916
8,2670560
8,57390
8,256958
9,328850
9,661095
9,407736
9,119193
9,14528
9,49865
9,1155634
9,125124
9,95127
9,126775
9,659457
9,145028
9,827133
9,676647
9,367375
9,172334
9,1003165
9,168135
9,69713
9,1473866
9,768268
9,212722
9,297944
9,1235828
9,664240
10,328850
10,661095
10,311385
10,96351
10,119193
10,287143
10,209450
10,657927
10,2353737
10,321267
10,780024
10,245934
10,193108
10,88929
10,7157
10,868529
10,1894857
10,369726
10,452625
10,235537
10,96790
10,4469
10,212477
